D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
13.0,18.0,23.0,28.0,46.0,33.0,4.077170665673922e-09,19.31786255338353,269,3.9124469909100114e-08,17.056517736827075,3.2118087673643226e-08,17.253846486575387,346565,No,20.710533338214848,2006-04-15,0,0,0.055039810385107274,0.04580484744784566,0.04004611950159609,0.032034779382291184,0.057373791695394694,0.021972263166844176,0.0
16.0,26.0,34.0,35.0,41.0,24.0,3.106246258753526e-09,19.589850830509757,270,1.788546560958176e-08,17.839277431050014,6.398758333742852e-08,16.56457678276186,961575,Yes,21.463331467167656,2006-04-12,1,10,0.03879581619039429,0.030510458390575847,0.030839827258207622,0.04468567419267973,0.05396998144939077,0.03528334385320754,0.0
4.0,23.0,35.0,43.0,44.0,35.0,1.9417709602007887e-09,20.059665414197138,271,9.699237617454588e-08,16.14863345767057,2.2603406062052675e-08,17.605165231313595,794987,No,19.848278772344432,2006-04-08,0,0,0.05177488215685684,0.03899783802641332,0.028122918451860164,0.031459399951008334,0.059328570157496555,0.018321610553858947,0.0
3.0,9.0,24.0,29.0,39.0,42.0,6.719672630460964e-10,21.12081149229726,272,4.773121584030913e-08,16.85768023295933,2.557413943020817e-08,17.481684174542572,722589,No,20.536374874997833,2006-04-05,0,0,0.04639989124151627,0.02800048169070633,0.041402698341085,0.03484592093562456,0.04600303188251695,0.007792891002435897,0.0
1.0,10.0,23.0,50.0,55.0,29.0,2.9332977626995865e-10,21.949723623550348,273,2.64614319672301e-07,15.144992468542815,2.9305904881941743e-08,17.34547680942131,670336,No,18.92319309050845,2006-04-01,0,0,0.03503659365835229,0.031079317190150956,0.04004611950159609,0.012203167361803543,0.0189606037374947,0.029072182575946685,0.0
2.0,14.0,24.0,28.0,54.0,13.0,1.5284456045256911e-09,20.299014562718188,274,2.1669904957406805e-07,15.344756314320186,9.639077467800469e-09,18.457440431264285,601915,No,19.060421857914548,2006-03-29,0,0,0.040736578400239365,0.04166815682601187,0.041402698341085,0.032034779382291184,0.023165819196422955,0.029306442494868957,0.0
20.0,34.0,37.0,39.0,45.0,32.0,2.196370184397731e-10,22.239044848369744,275,7.966614954311411e-09,18.64800615778874,1.1072137188208615e-07,16.016248954600293,559706,No,22.229378778360953,2006-03-25,0,0,0.018248978937609666,0.009185088459806263,0.022598950167255424,0.04133404460831715,0.05890938979751049,0.023812387094146525,0.0
18.0,22.0,23.0,38.0,45.0,31.0,2.9705459624960965e-09,19.634520075269425,276,3.0515273861390516e-08,17.305038496342,5.905139833711262e-08,16.644857614022666,502719,No,20.956733926074108,2006-03-22,0,0,0.02772504418608188,0.04128506017208144,0.04004611950159609,0.04292530164894223,0.05890938979751049,0.02562788630649202,0.0
1.0,25.0,34.0,36.0,42.0,19.0,3.3044427147651576e-09,19.527997996691028,277,8.445852621594081e-08,16.28700523708444,2.5674521016135924e-08,17.47776673695777,471463,No,19.96631943832866,2006-03-18,0,0,0.03503659365835229,0.03352497297802973,0.030839827258207622,0.04463171356316032,0.05678684677114263,0.03599189079731963,0.0
7.0,12.0,36.0,48.0,54.0,37.0,3.4800702016911463e-10,21.77879846345779,278,1.7532929827210906e-07,15.556599926798802,2.3819051430095845e-08,17.552780096226304,390565,No,19.307338675535583,2006-03-15,0,0,0.06358344316457927,0.03689063138024648,0.025354350910026427,0.016999978035516228,0.023165819196422955,0.014858650074345068,0.0
